iteration,state,occupation,age,gender,name,capacity,time,cures,action
12,corpse,other,36,woman,Bessie Vaughan,10,720,0,squish
12,healthy,other,57,woman,Nichole Ballard,10,715,0,save
12,zombie,other,60,woman,Tyler Kelley,10,685,0,squish
12,healthy,other,15,woman,Gemma Curry,10,680,0,save
12,zombie,other,14,woman,Vicki Acosta,10,650,0,squish
12,healthy,engineer,55,woman,Marla Mclean,10,645,0,save
12,injured,other,57,woman,Londyn Price,10,675,0,save
12,zombie,other,55,woman,Kira Harrell,10,645,0,squish
12,injured,other,40,man,Uriel Huber,10,640,0,save
12,healthy,other,64,woman,Ashley Ali,10,610,0,save
12,injured,other,8,woman,Lucille Compton,10,580,0,skip
12,injured,other,16,woman,Maribel Ibarra,10,565,0,skip
12,injured,other,63,man,Patrick Contreras,10,550,0,save
12,healthy,doctor,56,woman,Shawn Barrera,10,520,0,save
12,zombie,other,58,man,Salvatore Glover,10,490,1,squish
12,healthy,other,56,man,Rocco Webster,10,485,1,save
12,zombie,other,9,woman,Traci Klein,10,455,1,squish
12,healthy,other,57,woman,Eden Wells,10,450,1,save
12,corpse,doctor,56,man,Edwin Mccullough,10,420,1,save
12,healthy,other,61,man,Jacob Bentley,10,390,1,save
12,healthy,other,29,woman,Kinsley Nunez,10,360,1,save
12,injured,other,33,man,Cole Klein,10,330,1,save
12,zombie,other,9,woman,Shirley Strickland,10,300,0,squish
12,zombie,other,10,man,Ricky Koch,10,295,0,squish
12,injured,doctor,61,man,Freddy Bradford,10,290,0,save
12,zombie,other,58,man,Stephan Sims,10,260,1,squish
12,healthy,other,78,woman,Joyce Kline,10,255,1,save
12,healthy,other,33,woman,Janis Bennett,10,225,1,save
12,injured,other,51,woman,Alexis Lawson,10,195,1,scram
12,injured,other,10,woman,Camila Hill,10,75,0,scram
13,zombie,engineer,67,man,Elisha French,10,720,0,squish
13,zombie,other,70,man,Taylor Kerr,10,715,0,squish
13,injured,other,15,man,Brad Jones,10,710,0,skip
13,zombie,other,14,man,Kory Benitez,10,695,0,squish
13,zombie,other,26,man,Connor Fry,10,690,0,squish
13,injured,other,28,man,Waylon Hanna,10,685,0,skip
13,injured,engineer,32,man,Junior Weber,10,670,0,save
13,zombie,other,15,woman,Audrey Odonnell,10,700,0,squish
13,injured,other,36,woman,Tyler Robinson,10,695,0,save
13,injured,other,70,man,Kelvin Gould,10,665,0,skip
13,healthy,other,48,woman,Patricia Spears,10,650,0,save
13,zombie,other,60,man,Felix Ballard,10,620,0,squish
13,zombie,engineer,66,man,Leo Yang,10,615,0,squish
13,zombie,other,20,woman,Lora Hess,10,610,0,squish
13,zombie,engineer,32,woman,Adriana Short,10,605,0,squish
13,healthy,doctor,64,man,Javon Snyder,10,600,0,save
13,zombie,other,16,man,Darin Fischer,10,570,1,squish
13,healthy,other,59,man,Milton Townsend,10,565,1,save
13,injured,other,11,woman,Sabrina Koch,10,535,1,save
13,healthy,other,75,man,Aidan Sparks,10,505,0,save
13,zombie,other,56,man,Elliott Nunez,10,475,0,squish
13,injured,other,75,man,Darryl Adkins,10,470,0,skip
13,corpse,other,10,woman,Celia Barry,10,455,0,skip
13,healthy,engineer,31,woman,Ada Luna,10,440,0,save
13,zombie,other,16,woman,Maria Figueroa,10,470,0,squish
13,zombie,other,28,woman,Christi Prince,10,465,0,squish
13,zombie,other,79,man,Marquis Mcguire,10,460,0,squish
13,injured,other,10,man,Darius Diaz,10,455,0,save
13,zombie,other,17,man,Timothy Greer,10,425,0,squish
13,injured,other,8,man,Allen Graves,10,420,0,skip
13,injured,other,22,woman,Peggy Zimmerman,10,405,0,skip
13,zombie,other,11,woman,Lynn Ramsey,10,390,0,squish
13,zombie,engineer,47,woman,Abbey Kelly,10,385,0,squish
13,healthy,other,22,woman,Shanna Sexton,10,380,0,save
13,healthy,other,10,man,Dwayne Curtis,10,350,0,save
13,injured,other,50,woman,Alaina Ray,10,320,0,skip
13,zombie,engineer,44,woman,Bridget Stevenson,10,305,0,squish
13,injured,other,29,man,Kirk Knox,10,300,0,save
13,injured,other,10,woman,Luz Kramer,10,270,0,skip
13,corpse,other,66,woman,Sabrina Yen-Ko,10,255,0,squish
13,zombie,other,80,man,Hector Evans,10,250,0,squish
13,zombie,engineer,58,man,Payton Mosley,10,245,0,squish
13,healthy,other,8,woman,Julianne Savage,10,240,0,save
13,healthy,other,42,man,Raphael Wheeler,10,210,0,save
13,zombie,other,37,man,Roger Brock,10,180,0,squish
13,healthy,doctor,49,man,Archie Hall,10,175,0,save
13,corpse,other,68,woman,Lyla Maxwell,10,145,1,squish
13,corpse,other,72,woman,Darla Young,10,140,1,scram
13,zombie,other,15,woman,Joan Salas,10,20,0,scram
14,injured,other,57,woman,Ella Marsh,10,720,0,skip
14,healthy,other,29,man,Terry Alfaro,10,705,0,save
14,zombie,other,52,man,Doug Hebert,10,675,0,squish
14,injured,other,59,woman,Elisabeth Santos,10,670,0,skip
14,healthy,other,25,man,Kurt Nielsen,10,655,0,save
14,zombie,doctor,39,woman,Rebekah Stuart,10,625,0,squish
14,zombie,other,25,man,Tim Bass,10,620,0,squish
14,healthy,other,58,woman,Denise Duke,10,615,0,save
14,zombie,other,52,woman,Kristen Curry,10,585,0,squish
14,zombie,other,24,woman,Elisa Roman,10,580,0,squish
14,healthy,doctor,44,man,Earl Montoya,10,575,0,save
14,healthy,other,80,man,Jarod Patterson,10,545,1,save
14,injured,other,77,man,Santos Jaramillo,10,515,1,save
14,injured,other,17,woman,Cadence Mcmahon,10,485,0,skip
14,injured,other,14,woman,Sabrina Yen-Ko,10,470,0,skip
14,zombie,engineer,21,man,Roberto Hines,10,455,0,squish
14,zombie,other,64,woman,Mercedes Lucas,10,450,0,squish
14,healthy,other,80,woman,Theresa Mcconnell,10,445,0,save
14,zombie,other,16,man,Zachery Massey,10,415,0,squish
14,healthy,engineer,56,man,Ervin Ibarra,10,410,0,save
14,injured,engineer,23,man,Sawyer Matthews,10,440,0,save
14,injured,other,16,man,Nickolas Novak,10,470,0,skip
14,zombie,doctor,64,woman,Vicky Aguirre,10,455,0,squish
14,zombie,other,37,man,Mauricio Lopez,10,450,0,squish
14,zombie,other,14,man,Declan Phan,10,445,0,squish
14,injured,other,11,man,Willis Hanna,10,440,0,skip
14,corpse,other,66,man,Lucas Helms,10,425,0,skip
14,injured,other,21,man,Layne Mclaughlin,10,410,0,save
14,healthy,other,75,man,Clyde Hall,10,380,0,scram
14,zombie,other,63,man,Billy Livingston,10,260,0,squish
14,zombie,other,11,man,Tyson Meza,10,255,0,squish
14,zombie,other,18,woman,Sarah Buck,10,250,0,squish
14,injured,doctor,62,woman,Jeanine Barrett,10,245,0,save
14,injured,other,55,man,Irving Petersen,10,215,0,save
14,injured,other,42,woman,Lorraine Rollins,10,185,0,save
14,zombie,other,74,woman,Janae Kennedy,10,155,0,squish
14,healthy,other,58,woman,Danielle Conway,10,150,0,save
14,injured,other,14,man,Guadalupe Webb,10,120,0,scram
